Brand,Knife,Steel ,Fe (Iron),C (Carbon),Cr (Chromium),Co (Cobalt),Cu (Copper),Mn (Manganese),Mo (Molybdenum),N (Nickel),Nb (Niobium),N (Nitrogen),Phosphorous (P),Si (Silicon),Sulfur (S),Ti (titanium),W (Tungsten),V (Vanadium),Cuts,Sharperner,Edge angle,Edge finish,Video date,Link,Pete's comments,Count Steel+sharpener,Sharpener,Count Steel+angle,Angle
Ka-Bar,Becker Remora,440A,79.48,0.70,17.00,0.00,0.00,1.00,0.75,0.00,0.00,0.00,0.04,1.00,0.03,0.00,0.00,0.00,38,Worksharp,20,,8/15/2017,https://www.youtube.com/watch?v=sG00gpaKsmY,,1,Worksharp,1,20
Z-Hunter,Fixed Blade,440A,79.48,0.70,17.00,0.00,0.00,1.00,0.75,0.00,0.00,0.00,0.04,1.00,0.03,0.00,0.00,0.00,30,Tormek,12,,7/6/2018,https://www.youtube.com/watch?v=hHhBZbJlDys,,1,Other,1,12
Cutco,Camp Knife,440B,79.33,0.85,17.00,0.00,0.00,1.00,0.75,0.00,0.00,0.00,0.04,1.00,0.03,0.00,0.00,0.00,50,Worksharp,20,,4/26/2018,https://www.youtube.com/watch?v=IXOARRM7FlQ,,1,Worksharp,1,20
Ganzo,G741,440C,79.11,1.08,17.00,0.00,0.00,1.00,0.75,0.00,0.00,0.00,0.04,1.00,0.03,0.00,0.00,0.00,55,Worksharp,20,,12/27/2016,https://www.youtube.com/watch?v=EOqKP9dKknc,,1,Worksharp,1,20
Lionsteel,Mini,440C,79.11,1.08,17.00,0.00,0.00,1.00,0.75,0.00,0.00,0.00,0.04,1.00,0.03,0.00,0.00,0.00,77,Worksharp,20,,9/1/2017,https://www.youtube.com/watch?v=EqLW9BxMkak,,2,Worksharp,2,20
Victorinox,Hunter Pro,440C,79.11,1.08,17.00,0.00,0.00,1.00,0.75,0.00,0.00,0.00,0.04,1.00,0.03,0.00,0.00,0.00,57,Worksharp,20,,9/23/2017,https://www.youtube.com/watch?v=eDHFwAPvP0g,,3,Worksharp,3,20
Kizlyar,Hero,440C,79.11,1.08,17.00,0.00,0.00,1.00,0.75,0.00,0.00,0.00,0.04,1.00,0.03,0.00,0.00,0.00,75,Worksharp,20,,2/1/2018,https://www.youtube.com/watch?v=kNVxb_r098s,,4,Worksharp,4,20
Kizlyar,Ute,440C,79.11,1.08,17.00,0.00,0.00,1.00,0.75,0.00,0.00,0.00,0.04,1.00,0.03,0.00,0.00,0.00,70,Worksharp,20,,2/1/2018,https://www.youtube.com/watch?v=kNVxb_r098s,,5,Worksharp,5,20
Gerber,Bear Grylls Survival Knife,7Cr17MoV,78.94,0.68,17.00,0.00,0.00,1.00,0.75,0.60,0.00,0.00,0.04,1.00,0.00,0.00,0.00,0.00,35,Worksharp,20,,5/6/2017,https://www.youtube.com/watch?v=Pd_2Oe8rtnY&,Question about which steel this is,1,Worksharp,1,20
Strider,SnG,CTS 40CP,79.11,1.10,17.00,0.00,0.00,1.00,0.75,0.00,0.00,0.00,0.04,1.00,0.00,0.00,0.00,0.00,285,Worksharp,20,,5/6/2017,https://www.youtube.com/watch?v=TiVtcJd0lP4,,1,Worksharp,1,20
Freewolf,Warriors?,9Cr18MoV,79.39,1.03,17.00,0.00,0.00,0.80,0.75,0.00,0.00,0.00,0.04,1.00,0.00,0.00,0.00,0.00,72,Worksharp,20,,12/24/2017,https://www.youtube.com/watch?v=Oeyvono_jpg,,1,Worksharp,1,20
Civivi,Praxis,9Cr18MoV,79.39,1.03,17.00,0.00,0.00,0.80,0.75,0.00,0.00,0.00,0.04,1.00,0.00,0.00,0.00,0.00,90,Factory,,,9/27/2018,https://www.youtube.com/watch?v=vBuNBeMnIgU,,1,Factory,,
Civivi,Praxis,9Cr18MoV,79.39,1.03,17.00,0.00,0.00,0.80,0.75,0.00,0.00,0.00,0.04,1.00,0.00,0.00,0.00,0.00,210,KME,17,Mirror polish,9/27/2018,https://www.youtube.com/watch?v=vBuNBeMnIgU,,1,KME,1,17
Creely Blades,Mako,Cru Wear,84.75,1.15,7.50,0.00,0.00,0.35,1.60,0.00,0.00,0.00,0.00,1.10,0.00,0.00,1.15,2.40,375,Lansky,17,Polished,3/11/2018,https://www.youtube.com/watch?v=mrsOaNOL9Ws,,1,Lansky,1,17
Creely Blades,Mako,Cru Wear,84.75,1.15,7.50,0.00,0.00,0.35,1.60,0.00,0.00,0.00,0.00,1.10,0.00,0.00,1.15,2.40,350,Lansky,17,Toothy,3/11/2018,https://www.youtube.com/watch?v=mrsOaNOL9Ws,,2,Lansky,2,17
