Brand,Knife,Steel ,Fe (Iron),C (Carbon),Cr (Chromium),Co (Cobalt),Cu (Copper),Mn (Manganese),Mo (Molybdenum),N (Nickel),Nb (Niobium),N (Nitrogen),Phosphorous (P),Si (Silicon),Sulfur (S),Ti (titanium),W (Tungsten),V (Vanadium),Cuts,Sharperner,Edge angle,Edge finish,Video date,Link,Pete's comments,Count Steel+sharpener,Sharpener,Count Steel+angle,Angle
Spyderco,Mule Team,CPM S90V,73.70,2.30,14.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,700,KME,17,Polished,5/5/2019,https://www.youtube.com/watch?v=mScL5ad9FAM,,1,KME,2,17
Creely Blades,Mako,CPM Rex 121,59.07,3.40,4.00,9.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,10.00,9.50,950,Lansky,17,Toothy,3/7/2018,https://www.youtube.com/watch?v=yJnL5eW-gwo,,1,Lansky,1,17
Creely Blades,Mako,CPM Rex 121,59.07,3.40,4.00,9.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,10.00,9.50,1300,KO Worksharp,13,Polished,7/3/2018,https://www.youtube.com/watch?v=t0Nd02e6P9E,,1,Other,1,13
Creely Blades,Mako,CPM Rex 121,59.07,3.40,4.00,9.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,10.00,9.50,500,KME,15,300 grit,9/10/2018,https://www.youtube.com/watch?v=ps6A_fddqIg,"Coarse edge, almost a little serrated",1,KME,1,15
Creely Blades,Mako,CPM Rex 121,59.07,3.40,4.00,9.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,10.00,9.50,1200,KME,15,600 grit + Tormek strop,12/15/2018,https://www.youtube.com/watch?v=o2FHwnTH_sE,,2,KME,2,15
Creely Blades,Mako,CPM Rex 121,59.07,3.40,4.00,9.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,10.00,9.50,1540,TSProf,14,Polished,3/13/2019,https://www.youtube.com/watch?v=yD2eVdtov88,Nathan sharpened,2,Other,1,14
Unknown ,Shirogorov clone,CPM S125V,68.25,3.25,14.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,650,Factory,17,,8/30/2018,https://www.youtube.com/watch?v=JfPt7fWPPaE,,1,Factory,1,17
ESEE,4,1095,98.20,0.95,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.20,0.00,0.25,0.00,0.00,0.00,75,Worksharp,20,,1/25/2017,https://www.youtube.com/watch?v=9HXm35API-s,,1,Worksharp,1,20
Schrade,SCHF52D,1095,98.20,0.95,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.20,0.00,0.25,0.00,0.00,0.00,69,Worksharp,20,,5/8/2017,https://www.youtube.com/watch?v=7k8NjwpIUwY,,2,Worksharp,2,20
GEC,#71 Farm and Field ,1095,98.20,0.95,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.20,0.00,0.25,0.00,0.00,0.00,155,Tormek,12,,6/12/2018,https://www.youtube.com/watch?v=QtWsNSXeBYo,,1,Other,1,12
ZT,0562,Elmax,81.75,0.30,15.00,0.00,0.00,1.00,0.95,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,236,Worksharp,20,,5/11/2017,https://www.youtube.com/watch?v=BhFWw1szfmg,,1,Worksharp,1,20
Microtech,DOC,Elmax,81.75,0.30,15.00,0.00,0.00,1.00,0.95,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,320,Lansky,20,Polished,1/23/2018,https://www.youtube.com/watch?v=5-WX22DoRLM,,1,Lansky,2,20
Spyderco,Mule Team,Elmax,81.75,0.30,15.00,0.00,0.00,1.00,0.95,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,475,KME,17,Polished,4/29/2019,https://www.youtube.com/watch?v=DfirJEFuooU,,1,KME,1,17
Spyderco,Spydiechef,LC200N,81.75,0.30,15.00,0.00,0.00,1.00,0.95,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,226,Worksharp,20,,4/21/2017,https://www.youtube.com/watch?v=qy98dAj-2s0,,1,Worksharp,1,20
Spyderco,Spydiechef,LC200N,81.75,0.30,15.00,0.00,0.00,1.00,0.95,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,330,Lansky,20,Polished,12/26/2017,https://www.youtube.com/watch?v=M2wG_nSrZZY,,1,Lansky,2,20
Spyderco,Spydiechef,LC200N,81.75,0.30,15.00,0.00,0.00,1.00,0.95,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,550,KME,16,Polished (160K grit),7/15/2018,https://www.youtube.com/watch?v=FwHvWm4drlg,,1,KME,1,16
Spyderco,Spydiechef,LC200N,81.75,0.30,15.00,0.00,0.00,1.00,0.95,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,430,KME,16,Toothy (600 grit),7/15/2018,https://www.youtube.com/watch?v=FwHvWm4drlg,,2,KME,2,16
Shannon Steel Labs,Apex,LC200N,81.75,0.30,15.00,0.00,0.00,1.00,0.95,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,230,Worksharp,20,Microconvex,7/28/2018,https://www.youtube.com/watch?v=ICrFN4vOrYM,Labeled as Z-FiNit steel on the knife,2,Worksharp,3,20
Shannon Steel Labs,Apex,LC200N,81.75,0.30,15.00,0.00,0.00,1.00,0.95,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,390,KME,17,Toothy (600 grit),7/28/2018,https://www.youtube.com/watch?v=ICrFN4vOrYM,Labeled as Z-FiNit steel on the knife,3,KME,1,17
Shannon Steel Labs,Apex,LC200N,81.75,0.30,15.00,0.00,0.00,1.00,0.95,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,525,KME,17,Polsihed (160K grit),7/29/2018,https://www.youtube.com/watch?v=xOUwjwt5SII,Labeled as Z-FiNit steel on the knife,4,KME,2,17
Shannon Steel Labs,Apex,LC200N,81.75,0.30,15.00,0.00,0.00,1.00,0.95,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,300,Tormek,13,1000 grit,8/3/2018,https://www.youtube.com/watch?v=iY-MMOmEiYA,Labeled at Z-FiNit steel on the knife,1,Other,1,13
Spyderco,Mule Team,LC200N,81.75,0.30,15.00,0.00,0.00,1.00,0.95,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,350,KME,17,Polished,5/29/2019,https://www.youtube.com/watch?v=X0qH3iYFy98,,5,KME,3,17
Spyderco,Waterway,LC200N,81.75,0.30,15.00,0.00,0.00,1.00,0.95,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,385,KME,17,Polished,5/31/2019,https://www.youtube.com/watch?v=7Z1uQAtR3pM&t=10s,,6,KME,4,17
Cold Steel,SRK,VG-1,84.45,1.00,14.00,0.00,0.00,0.00,0.30,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73,Worksharp,20,,2/16/2018,https://www.youtube.com/watch?v=g-bFvJEqxGg,,1,Worksharp,1,20
